"decimalLongitude","decimalLatitude","countryCode","ID","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19"
77.593468,18.389735,"IN",34,27.4153327941895,13.1499996185303,46.6908073425293,398.837341308594,42.2840003967285,14.1199998855591,28.1640014648438,26.8666667938232,23.4093341827393,32.8106689453125,22.6599998474121,1054,264,2,120.120185852051,732,9,215,24
73.947556,18.555931,"IN",35,24.996166229248,12.9530000686646,52.5434074401855,285.016143798828,37.1279983520508,12.4759998321533,24.6519985198975,24.8553333282471,23.4153327941895,28.7113342285156,21.546667098999,653,160,0,100.118103027344,372,3,159,7
76.957838,31.802737,"IN",36,19.3553333282471,9.63199996948242,34.8682289123535,609.415893554688,32.6679992675781,5.04400014877319,27.6239986419678,23.9506664276123,15.4673328399658,26.0893325805664,11.1920003890991,1611,433,22,96.7768859863281,962,108,629,218
73.787747,18.496023,"IN",37,24.3408336639404,12.5523328781128,51.6047286987305,277.095581054688,36.4959983825684,12.1719999313354,24.3239974975586,24.8053340911865,22.9699993133545,28.0033321380615,21.1273326873779,1118,392,0,128.246673583984,775,3,215,7
77.35674,23.294649,"IN",38,25.4878330230713,13.2863340377808,42.9922790527344,497.528106689453,41.5839996337891,10.6800003051758,30.9039993286133,26.2173328399658,25.9186668395996,32.0213317871094,19.1700000762939,1136,373,2,148.293685913086,956,14,101,32
76.170525,29.570033,"IN",39,24.1469993591309,13.5166664123535,39.876880645752,726.290649414062,40.0959968566895,6.19999980926514,33.89599609375,29.6806678771973,19.6013336181641,32.0646667480469,14.3759994506836,451,126,3,120.716232299805,337,24,167,36
75.556728,21.017995,"IN",40,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
74.073208,20.654217,"IN",41,24.6140003204346,14.0220003128052,51.6349945068359,330.592712402344,37.7400016784668,10.5840005874634,27.1560020446777,24.7080001831055,22.3593330383301,28.9860000610352,20.5186672210693,732,221,0,123.986763000488,525,4,123,4
75.556728,21.017995,"IN",42,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
73.678778,24.610962,"IN",43,24.7705001831055,12.0976667404175,41.154125213623,506.787658691406,38.6440010070801,9.2480001449585,29.3959999084473,26.5606651306152,17.8133335113525,30.779333114624,17.8133335113525,649,206,2,142.309539794922,527,8,85,8
75.572359,21.025155,"IN",44,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
75.572359,21.025155,"IN",45,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
75.572359,21.025155,"IN",46,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
75.572359,21.025155,"IN",47,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
75.033531,26.628355,"IN",48,25.6238327026367,14.4743328094482,43.1451454162598,621.276916503906,40.7879981994629,7.23999977111816,33.5479965209961,29.089334487915,24.1920013427734,32.4300003051758,17.0666675567627,453,169,1,155.868041992188,391,8,187,10
79.760772,11.953787,"IN",49,28.4491672515869,8.97833347320557,55.5865135192871,243.626678466797,36.7439994812012,20.5919990539551,16.1520004272461,26.4206676483154,28.1986656188965,31.2106666564941,25.3326663970947,1186,310,7,98.4992446899414,696,30,159,187
75.034789,26.622828,"IN",50,25.6459999084473,14.46399974823,43.1400604248047,620.929321289062,40.8120002746582,7.28399991989136,33.5279998779297,29.0873336791992,24.2213325500488,32.4486656188965,17.0966663360596,452,169,1,156.317611694336,391,8,186,10
74.523289,19.760317,"IN",51,25.5890007019043,13.800666809082,50.8349304199219,351.885803222656,38.923999786377,11.7760000228882,27.1479988098145,25.7426662445068,23.3493328094482,30.1700000762939,21.228666305542,500,107,0,101.388069152832,283,3,114,8
75.034767,26.62308,"IN",52,25.6459999084473,14.46399974823,43.1400604248047,620.929321289062,40.8120002746582,7.28399991989136,33.5279998779297,29.0873336791992,24.2213325500488,32.4486656188965,17.0966663360596,452,169,1,156.317611694336,391,8,186,10
75.640242,26.960698,"IN",53,24.7491664886475,14.4156665802002,42.4239730834961,656.14697265625,40.3959999084473,6.41599988937378,33.9799995422363,28.7099990844727,16.8446674346924,31.8759994506836,15.6633338928223,564,202,3,152.61555480957,476,13,240,17
76.413797,27.405205,"IN",54,24.6906661987305,13.2006664276123,40.1822319030762,653.620971679688,39.8680000305176,7.01599979400635,32.8520011901855,28.7140007019043,16.7140007019043,31.8600006103516,15.7273330688477,697,243,4,147.258422851562,589,17,266,22
75.036353,26.628662,"IN",55,25.6238327026367,14.4743328094482,43.1451454162598,621.276916503906,40.7879981994629,7.23999977111816,33.5479965209961,29.089334487915,24.1920013427734,32.4300003051758,17.0666675567627,453,169,1,155.868041992188,391,8,187,10
74.736282,29.732797,"IN",56,24.8926658630371,14.8786668777466,41.2197113037109,767.220581054688,41.5999984741211,5.50400018692017,36.0959968566895,31.0726680755615,20.0993328094482,33.1753349304199,14.5246667861938,327,94,2,121.072341918945,245,15,122,23
75.572359,21.025155,"IN",57,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
75.458642,26.310116,"IN",58,26.0453338623047,14.300666809082,42.2197303771973,632.936950683594,41.7599983215332,7.88800001144409,33.871997833252,29.3299999237061,24.779333114624,32.9766654968262,17.3420009613037,541,201,1,157.149673461914,467,9,47,12
76.106361,29.653685,"IN",59,24.1791667938232,13.6109991073608,40.0370635986328,729.141174316406,40.1159973144531,6.11999988555908,33.9959983825684,29.761999130249,19.6366672515869,32.0973320007324,14.3340005874634,451,127,3,121.758888244629,340,24,165,36
74.645184,16.887666,"IN",60,25.5806655883789,12.9953327178955,54.8604049682617,250.5634765625,38.1679992675781,14.4799995422363,23.6879997253418,24.5566673278809,25.0739994049072,29.1873321533203,22.945333480835,662,141,0,87.3404922485352,344,8,96,39
74.56086,16.775018,"IN",61,25.3571662902832,12.4610004425049,54.6726989746094,238.654449462891,37.2319984436035,14.4399995803833,22.7919998168945,24.4506664276123,24.771333694458,28.7553329467773,22.8226661682129,669,148,0,87.2626876831055,342,9,104,40
73.820068,18.483711,"IN",62,24.6671657562256,12.5256671905518,51.9134063720703,277.616516113281,36.6040000915527,12.4759998321533,24.1280002593994,25.2220001220703,23.1626663208008,28.2986660003662,21.3366661071777,963,310,0,119.987091064453,637,2,200,6
